idx,image,start_s,dur_s,transition,blur,intro,outro,kb_s0,kb_s1,kb_x0,kb_x1,kb_y0,kb_y1
64,hinh-nen-pubg-dep-20.jpg,758.800,8.600,blur,3,,,0.901449,0.823880,0.000000,0.000000,0.000000,0.000000
65,hinh-nen-truy-kich-CrossFire-5.jpg,767.400,11.700,gradient-wipe,3,,,0.764561,0.824810,0.000000,0.000000,0.000000,0.000000
66,hinh-anh-nen-hd-tuong-lol-debut-lam-idol_034646599.jpg,779.100,12.100,dissolve-ii,3,,,0.890348,0.890348,-0.091501,0.091501,0.000000,0.000000
67,hinh-nen-de-thuong-anime_092519251.jpg,791.200,11.300,glitch,3,,,0.758148,0.885151,-0.092662,0.092662,-0.092662,0.092662
68,27.jpg,802.500,10.300,split,3,,,0.862623,0.782307,0.092480,-0.092480,-0.092480,0.092480
69,1.jpg,812.800,9.200,black-fade,3,,,0.776652,0.915532,0.055120,-0.055120,0.055120,-0.055120
70,hinh-anh-miss-fortune-13.jpg,822.000,13.700,shutter,3,,,0.876730,0.876730,0.000000,0.000000,-0.056450,0.056450
71,hinh-anh-xin-zhao-16.jpg,835.700,16.900,glitch,3,,,0.832984,0.911217,-0.057456,0.057456,0.057456,-0.057456
72,hinh-nen-thien-nhien-phong-canh-dep-nhat_014904113.jpg,852.600,16.400,dissolve-ii,3,,,0.890566,0.800274,0.000000,0.000000,0.000000,0.000000
73,49.jpeg,869.000,16.100,glitch,3,,,0.825029,0.918016,0.000000,0.000000,0.000000,0.000000
74,f669558bcc45482bf7f1dd2b0d74388c.jpg,885.100,8.300,gradient-wipe,3,,,0.882848,0.882848,-0.066327,0.066327,0.000000,0.000000
75,hinh-nen-pubg-dep-13.jpg,893.400,10.600,page-turning,3,,,0.811947,0.901256,-0.073880,0.073880,-0.073880,0.073880
76,hinh-nen-game-chien-thuat_061015530.jpg,904.000,14.000,dissolve,3,,,0.916799,0.785014,0.065970,-0.065970,-0.065970,0.065970
77,hinh-nen-ahri-dep-18.jpg,918.000,16.200,split,3,,,0.779053,0.859282,0.095291,-0.095291,0.095291,-0.095291
78,50.jpg,934.200,9.700,flip-ii,3,,,0.910640,0.910640,0.000000,0.000000,-0.047092,0.047092
79,hinh-anh-xin-zhao-1.jpg,943.900,13.000,split,3,,,0.799617,0.902507,-0.072588,0.072588,0.072588,-0.072588
80,hinh-nen-game-2k_061013530.jpg,956.900,8.300,whirlpool,3,,,0.909994,0.773059,0.000000,0.000000,0.000000,0.000000
81,hinh_nen_phong_canh (303).jpg,965.200,10.300,dissolve,3,,,0.747088,0.855738,0.000000,0.000000,0.000000,0.000000
82,0106_hinh-nen-4k-may-tinh14-scaled.jpg,975.500,15.300,split,3,,,0.900473,0.900473,-0.080428,0.080428,0.000000,0.000000
83,hinh-nen-pubg-dep-9.jpg,990.800,8.900,dissolve,3,,,0.724272,0.844602,-0.081317,0.081317,-0.081317,0.081317
84,hinh-nen-pubg-dep-7.jpg,999.700,11.900,flip-ii,3,,,0.885483,0.773316,0.055697,-0.055697,-0.055697,0.055697
85,hinh-nen-game-ngau_061017733.jpg,1011.600,7.500,gradient-wipe,3,,,0.784790,0.912563,0.049911,-0.049911,0.049911,-0.049911
86,hinh-anh-lien-quan-55.jpg,1019.100,7.700,whirlpool,3,,,0.808850,0.808850,0.000000,0.000000,-0.156807,0.156807
87,hinh-nen-cf-dep-5.jpg,1026.800,7.600,page-turning,3,,,0.771573,0.907136,-0.060140,0.060140,0.060140,-0.060140
88,hinh-anh-xin-zhao-13.jpg,1034.400,8.500,flip-ii,3,,,0.910176,0.821826,0.000000,0.000000,0.000000,0.000000
89,ngam-phong-canh-thien-nhien-dep-me-hon-khap-the-gioi_085326540.jpg,1042.900,10.600,flip-ii,3,,,0.794899,0.871648,0.000000,0.000000,0.000000,0.000000
90,hinh-nen-ahri-dep-8.jpg,1053.500,8.600,shutter,3,,,0.819460,0.819460,-0.129339,0.129339,0.000000,0.000000
91,0106_hinh-nen-4k-may-tinh17-scaled.jpg,1062.100,16.500,whirlpool,3,,,0.740116,0.840049,-0.096723,0.096723,-0.096723,0.096723
92,0106_hinh-nen-4k-may-tinh11-scaled.jpg,1078.600,10.500,dissolve-ii,3,,,0.864322,0.757479,0.082933,-0.082933,-0.082933,0.082933
93,ho-xanh-thac-trang-voi-thien-nhien-xanh-muot_085326165.jpg,1089.100,12.000,dissolve,3,,,0.778040,0.889067,0.090676,-0.090676,0.090676,-0.090676
94,hinh-nen-thien-nhien-nui-rung-hung-vi_105624213.jpeg,1101.100,13.700,dissolve-ii,3,,,0.798794,0.798794,0.000000,0.000000,-0.159507,0.159507
95,hinh-nen-thien-nhien-mua-thu-cuc-dep_014903504.jpg,1114.800,12.500,gradient-wipe,3,,,0.769896,0.909817,-0.068183,0.068183,0.068183,-0.068183
96,hinh-nen-game-fps_061017202.jpg,1127.300,7.900,blur,3,,,0.818940,0.729392,0.000000,0.000000,0.000000,0.000000
97,hinh-anh-miss-fortune-38.jpg,1135.200,10.900,glitch,3,,,0.793056,0.857137,0.000000,0.000000,0.000000,0.000000
98,hinh-nen-dragon-ball-cuc-ky-dep_111004288.jpg,1146.100,10.700,dissolve-ii,3,,,0.734035,0.734035,-0.142536,0.142536,0.000000,0.000000
99,hinh-nen-ashe-dep-4.jpg,1156.800,13.200,glitch,3,,,0.723229,0.858860,-0.095447,0.095447,-0.095447,0.095447
100,aa89a1de897f0f27a7431d4b65f379f9.jpg,1170.000,8.200,whirlpool,3,,,0.864043,0.782061,0.111502,-0.111502,-0.111502,0.111502
101,hinh-nen-ashe-dep-15.jpg,1178.200,7.500,whirlpool,3,,,0.775708,0.903988,0.068908,-0.068908,0.068908,-0.068908
102,13.jpg,1185.700,8.700,split,3,,,0.737575,0.737575,0.000000,0.000000,-0.207936,0.207936
103,hinh-anh-lien-quan-21.jpg,1194.400,11.900,flip-ii,3,,,0.757657,0.884356,-0.052554,0.052554,0.055669,-0.055669
104,tai-hinh-nen-thien-nhien-dep_014905660.jpg,1206.300,14.200,dissolve,3,,,0.911599,0.815418,0.000000,0.000000,0.000000,0.000000
105,hinh-nen-truy-kich-CrossFire-14.jpg,1220.500,7.700,black-fade,3,,,0.732192,0.869033,0.000000,0.000000,0.000000,0.000000
106,hinh-nen-windows-anime_092519798.jpg,1228.200,13.400,split,3,,,0.863683,0.863683,-0.082761,0.082761,0.000000,0.000000
107,hinh-nen-ashe-dep-1.png,1241.600,12.300,split,3,,,0.804652,0.888973,-0.058938,0.058938,-0.058938,0.058938
108,tong-hop-hinh-anh-thien-nhien-tho-mong-dep-nhat_014905754.jpg,1253.900,10.600,black-fade,3,,,0.919075,0.851994,0.068512,-0.068512,-0.068512,0.068512
109,hinh-nen-games-12.jpg,1264.500,14.000,blur,3,,,0.725115,0.834084,0.140789,-0.140789,0.140789,-0.140789
110,hinh-anh-xin-zhao-7.jpg,1278.500,9.000,black-fade,3,,,0.851955,0.851955,0.000000,0.000000,-0.117341,0.117341
111,hinh-nen-ashe-dep-24.jpg,1287.500,12.200,flip-ii,3,,,0.817387,0.893208,-0.066587,0.066587,0.066587,-0.066587
112,hinh-nen-games-17.jpg,1299.700,8.500,glitch,3,,,0.899117,0.763389,0.000000,0.000000,0.000000,0.000000
113,hinh-nen-hacker-viet_013826923.jpg,1308.200,12.600,gradient-wipe,3,,,0.830704,0.912583,0.000000,0.000000,0.000000,0.000000
114,0106_hinh-nen-4k-may-tinh10-scaled.jpg,1320.800,9.600,flip-ii,3,,,0.741906,0.741906,-0.135550,0.135550,0.000000,0.000000
115,hinh-anh-miss-fortune-36.jpg,1330.400,12.000,whirlpool,3,,,0.723016,0.860273,-0.079872,0.079872,-0.079872,0.079872
116,hinh-nen-game-dep_061016014.jpg,1342.400,12.100,dissolve-ii,3,,,0.877167,0.749144,0.101835,-0.101835,-0.101835,0.101835
117,hinh-nen-ahri-dep-15.jpg,1354.500,9.900,page-turning,3,,,0.757489,0.845518,0.126698,-0.126698,0.126698,-0.126698
118,hinhnenseraphinewallpaper35f5c33df995ea_2a02ada89935a38ebffa2517df0dda1a.jpg,1364.400,8.900,glitch,3,,,0.769999,0.769999,0.000000,0.000000,-0.162446,0.162446
119,hinh-nen-ahri-dep-27.jpg,1373.300,13.700,blur,3,,,0.729181,0.847475,-0.091657,0.091657,0.091657,-0.091657
120,hinh-nen-pubg-dep-1.png,1387.000,14.200,black-fade,3,,,0.866357,0.730390,0.000000,0.000000,0.000000,0.000000
121,anh-nen-game-4k-tay-sung-840x473.jpg,1401.200,10.800,black-fade,3,,,0.728415,0.846889,0.000000,0.000000,0.000000,0.000000
122,3.jpg,1412.000,14.200,flip-ii,3,,,0.887503,0.887503,-0.092944,0.092944,0.000000,0.000000
123,hinh-nen-ashe-dep-18.jpg,1426.200,9.900,glitch,3,,,0.751548,0.843631,-0.118882,0.118882,-0.123854,0.123854
124,dubay-obedinennye-arabskie-emiraty-gorod-nlon-_2048x1134-800-resize.jpg,1436.100,8.800,split,3,,,0.824763,0.727644,0.128565,-0.128565,-0.133256,0.133256
125,hinh-nen-ashe-dep-27.jpg,1444.900,10.200,flip-ii,3,,,0.720481,0.855911,0.073818,-0.073818,0.073818,-0.073818
126,45.jpg,1455.100,9.600,shutter,3,,,0.821134,0.821134,0.000000,0.000000,-0.125494,0.125494
